Flow_31,Flow_32,Flow_41,Flow_42,Flow_5,Speed_31,Speed_32,Speed_41,Speed_42,Speed_5,Y
159,67,3,19,21,100,97,90,90,88,0
162,60,5,19,20,100,97,93,90,86,0
163,69,3,22,28,97,97,93,90,86,0
167,64,6,18,23,97,97,93,90,82,0
183,76,4,19,27,100,97,93,90,86,0
169,68,5,16,19,100,97,93,90,86,0
142,60,2,16,23,64,64,64,64,63,0
0,0,0,0,0,0,0,0,0,0,0
9,4,0,2,3,84,81,0,72,75,0
158,57,4,13,15,97,93,90,86,82,0
17,5,1,0,1,82,79,75,0,77,0
2,1,0,0,1,57,21,0,0,18,0
157,67,3,20,28,50,50,50,46,46,0
175,67,5,23,17,93,90,86,86,84,0
164,76,4,25,34,93,93,90,90,86,0
156,67,4,29,21,93,90,82,81,82,0
140,70,4,21,35,93,93,86,82,86,0
130,55,4,21,19,100,97,82,86,82,0
141,63,2,16,37,93,90,84,84,82,0
131,61,3,15,18,97,93,90,82,82,0
164,89,5,22,42,64,64,63,63,61,0
191,78,4,23,25,97,93,88,86,86,0
178,73,3,14,41,50,54,54,50,50,0
192,77,4,20,21,90,90,86,82,82,0
168,75,3,16,39,64,64,61,57,64,0
193,76,4,20,27,90,86,84,82,79,0
181,65,1,15,43,86,86,75,79,79,0
178,73,3,19,23,93,90,86,86,82,0
188,70,2,18,46,79,79,73,75,75,0
179,69,3,16,29,93,90,88,86,82,0
164,68,2,21,53,86,82,77,75,79,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
157,70,5,17,34,93,90,86,86,82,0
9,3,0,1,2,90,90,0,82,79,0
8,4,0,0,0,93,86,0,0,0,0
153,73,5,29,65,86,86,79,75,75,0
135,70,3,21,49,93,90,82,82,82,0
142,82,3,28,67,82,79,72,72,72,0
5,4,0,1,23,82,77,0,75,75,0
140,72,4,18,43,86,82,73,75,75,0
11,6,1,3,14,84,82,68,75,75,0
62,29,1,1,0,91,93,86,77,0,0
41,20,2,1,0,97,97,93,93,0,0
12,6,0,0,0,97,93,0,0,0,0
32,14,0,1,0,97,93,0,7,0,0
72,33,1,1,0,91,90,82,84,0,0
171,58,3,1,0,86,82,79,75,0,0
146,54,3,1,0,90,90,82,82,0,0
184,69,2,2,0,86,86,82,73,0,0
78,30,2,0,0,68,68,61,0,0,0
83,22,2,1,0,79,77,72,68,0,0
86,24,0,1,0,90,90,0,84,0,0
84,24,3,1,0,93,90,90,82,0,0
113,39,6,0,0,79,75,75,0,0,0
90,27,1,0,0,90,86,86,0,0,0
134,41,6,1,0,93,90,93,90,0,0
132,53,6,1,1,93,91,95,90,79,0
38,14,0,0,0,79,79,0,0,0,0
98,25,7,1,0,82,81,84,70,0,0
48,21,3,0,0,75,75,72,0,0,0
89,29,4,0,0,82,82,90,0,0,0
132,38,5,2,0,93,90,86,84,0,0
49,19,2,2,0,75,72,77,75,0,0
51,16,2,2,0,75,75,75,64,0,0
46,15,3,3,1,36,34,32,36,30,0
33,12,0,0,0,75,72,0,0,0,0
41,13,1,1,9,90,90,61,75,72,0
43,16,1,3,9,86,86,75,79,79,0
